;;;;;;;;312  16 X 1;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;11132-;DISCO CORTE  STARRETT 7   ;;P€;;;;;;0;;6,9;;;;5;;34,5;;
;;;;;;;;180 X 1.6 X 22.23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;11431-;DISCO CORTE VONDER 12 X ;;P€;;;;;;0;;18,85;;;;0;;0;;
;;;;;;;;3/4;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;11446-;DISCO CORTE WORKER 14 X 1;;P€;;;;;;0;;20,24;;;;0;;0;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;11943-;DISCO DIAMANTADO IRWIN ;;P€;;;;;;0;;169;;;;0;;0;;
;;;;;;;;METALMAX 7 X 7/8;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;11944-;DISCO DIAMANTADO IRWIN ;;P€;;;;;;0;;38,03;;;;0;;0;;
;;;;;;;;METALMAX 4 1/2;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12077-;DISCO CORTE CLASSIC AR ;;P€;;;;;;0;;15,88;;;;33;;524,04;;
;;;;;;;;302  300 X 3.2 X 25.4 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89974E+12;;;;;;12145-;DISCO DIAMANTADO ;;P€;;;;;;;;17,91;;;;1;;17,91;;
;;;;;;;;PORCELANATO 110X20MM ;;;;;;;;;;;;;;;;;;
;;;;;;;;WORKER;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12155-;DISCO CORTE ALCAR 406.4 X ;;P€;;;;;;0;;39,3;;;;0;;0;;
;;;;;;;;4.8 X 25.4 AB-2;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12180-;DISCO DIAMANTADO ;;P€;;;;;;0;;14,41;;;;-8;;-115,28;;
;;;;;;;;PORCELANATO PRO 110 X 10 ;;;;;;;;;;;;;;;;;;
;;;;;;;;NORTON;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89135E+12;;;;;;12215-;DISCO CORTE CLASSIC AR ;;UN;;;;;;;;25,92;;;;10;;259,2;;
;;;;;;;;302 356X3.2X25.40 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;7,89135E+12;;;;;;12332-;DISCO CORTE CLASSIC ;;CX;;;;;;;;12,59;;;;22;;276,98;;
;;;;;;;;AR302 254X3.2X19.10;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12334-;DISCO CORTE CLASSIC ;;CX;;;;;;;;11,22;;;;38;;426,36;;
;;;;;;;;AR302 254X3.2X25.40;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12506-;DISCO CORTE TELSTAR  9 X ;;P€;;;;;;0;;8,35;;;;0;;0;;
;;;;;;;;7/8;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12591-;DISCO DIAMANTADO ;;P€;;;;;;0;;193,2;;;;1;;193,2;;
;;;;;;;;ASF/CONCRETO 350MM - ;;;;;;;;;;;;;;;;;;
;;;;;;;;WINTERSTONE;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12699-;DISCO CORTE DEPRESSAO ;;UN;;;;;;0;;7,39;;;;7;;51,73;;
;;;;;;;;CDA 123 4 1/2;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12908-;DISCO CORTE CLASSIC ;;CX;;;;;;;;11,22;;;;27;;302,94;;
;;;;;;;;AR302 254X3.2X15.88;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12925-;DISCO CORTE BOSCH 102 115 ;;P€;;;;;;0;;4,81;;;;-1;;-4,81;;
;;;;;;;;X 2.5 X 23 MM;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;12997-;DISCO TUNGSTENIO MADEIRA ;;P€;;;;;;0;;28,3;;;;1;;28,3;;
;;;;;;;;110MM STARFER;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;13031-;DISCO CORTE NORTON  ;;P€;;;;;;0;;10,88;;;;20;;217,6;;
;;;;;;;;AR302 254 X 3.2 X 25.4;;;;;;;;;;;;;;;;;;
